ls11cd,la19nm,IDAOP_london_rank,IDAOP_london_decile,IDACI_london_rank,IDACI_london_decile,Income_london_rank,Income_london_decile,employment_london_rank,employment_london_decile,crime_london_rank,crime_london_decile,barriers_london_rank,barriers_london_decile,livingEnv_london_rank,livingEnv_london_decile,health_london_rank,health_london_decile,edu_london_rank,edu_london_decile
E01000001,City of London,"32,820",10,32806,10,32831,10,32742,10,32662,10,2679,6,7789,4,32113,10,32842,10
E01000002,City of London,"31,938",10,29682,10,29901,10,31190,10,32789,10,3645,8,13070,7,29705,9,32832,10
E01000003,City of London,"16,377",8,27063,9,18510,7,15103,5,29363,10,984,3,4092,2,17600,4,26386,8
E01000005,City of London,"3,885",3,9458,4,6029,2,7833,2,31059,10,1003,3,9397,5,17907,4,12370,2
E01000006,Barking and Dagenham,"12,934",7,13592,6,14023,6,21692,7,18848,8,495,2,10629,6,21581,6,17511,4
E01000007,Barking and Dagenham,"2,514",2,6750,3,6261,2,11487,4,4925,2,145,1,11162,6,16414,4,20536,5
E01000008,Barking and Dagenham,893,1,4452,2,3382,1,6431,2,11113,5,473,1,8672,5,12334,2,10569,2
E01000009,Barking and Dagenham,"2,238",2,10487,5,7506,3,11132,3,4431,2,270,1,9611,5,9661,2,16819,4
E01000010,Barking and Dagenham,531,1,8757,4,8902,4,17988,6,2164,1,140,1,2269,1,16050,4,20182,5
E01000011,Barking and Dagenham,"2,747",2,10815,5,9033,4,16108,5,8727,4,79,1,4309,2,18178,4,12224,2
E01000012,Barking and Dagenham,"3,554",3,4419,2,4570,2,13201,4,8515,4,34,1,5437,3,16887,4,13896,3
E01000013,Barking and Dagenham,"6,152",4,7335,3,5966,2,7013,2,2236,1,487,2,8569,5,7172,1,11346,2
E01000014,Barking and Dagenham,"5,474",4,9854,4,6627,3,7932,2,5163,2,421,1,11704,7,10972,2,7994,1
E01000015,Barking and Dagenham,"4,299",3,6921,3,5755,2,9271,3,10845,5,148,1,11351,7,15626,4,10318,2
E01000016,Barking and Dagenham,"6,054",4,6841,3,6711,3,9461,3,8699,4,600,2,11815,7,10676,2,8971,1
E01000017,Barking and Dagenham,"4,966",4,3696,1,4033,1,5016,1,11685,5,434,1,10141,6,6950,1,11972,2
E01000018,Barking and Dagenham,"7,710",5,5110,2,5998,2,7832,2,9663,4,614,2,11373,7,12006,2,10125,2
E01000019,Barking and Dagenham,"5,121",4,10305,4,7049,3,7641,2,7142,3,856,2,10667,6,9374,1,10264,2
E01000020,Barking and Dagenham,"3,361",3,8053,3,5760,2,8401,2,7066,3,613,2,8756,5,6282,1,11245,2
E01000021,Barking and Dagenham,"2,973",2,4790,2,5007,2,7865,2,8283,3,460,1,3095,1,10085,2,7939,1
E01000022,Barking and Dagenham,"8,010",5,6989,3,6941,3,7576,2,9002,4,570,2,8559,5,9980,2,9771,2
E01000023,Barking and Dagenham,"3,920",3,3538,1,5088,2,11325,4,1812,1,443,1,4268,2,15505,3,11907,2
E01000024,Barking and Dagenham,"5,988",4,13512,6,10056,4,12570,4,12816,6,453,1,8892,5,12148,2,8860,1
E01000025,Barking and Dagenham,"5,223",4,5422,2,5570,2,7683,2,5042,2,343,1,9925,6,10405,2,10465,2
E01000027,Barking and Dagenham,"8,003",5,5532,2,5730,2,6959,2,3211,1,512,2,15032,8,13752,3,5869,1
E01000028,Barking and Dagenham,"1,337",1,5919,2,3610,1,6080,1,18303,8,241,1,18166,9,3254,1,9522,1
E01000029,Barking and Dagenham,"14,665",7,16396,7,14506,6,17567,6,11162,5,303,1,13867,8,20355,5,15570,3
E01000030,Barking and Dagenham,"6,752",4,2800,1,3448,1,5569,1,9086,4,539,2,14570,8,15751,4,5699,1
E01000031,Barking and Dagenham,"10,229",6,12475,5,12951,5,17380,6,4231,2,1790,4,10136,6,15303,3,19087,5
E01000032,Barking and Dagenham,"10,623",6,12340,5,10854,5,11603,4,4275,2,999,3,4853,2,14597,3,11882,2
E01000033,Barking and Dagenham,"6,836",4,2770,1,3732,1,7857,2,14128,6,45,1,14002,8,11932,2,7805,1
E01000034,Barking and Dagenham,"4,183",3,6977,3,5759,2,6863,2,11900,5,502,2,16800,9,7279,1,7148,1
E01000035,Barking and Dagenham,"10,771",6,8675,4,10489,4,13897,4,12838,6,1106,3,13084,7,10364,2,10551,2
E01000036,Barking and Dagenham,"17,831",8,12404,5,14690,6,17997,6,10655,5,2239,5,10188,6,18923,5,16612,4
E01000037,Barking and Dagenham,"19,150",8,16218,7,16924,7,12386,4,17649,8,2639,6,15997,9,23465,6,13611,3
E01000038,Barking and Dagenham,"12,816",7,9850,4,12877,5,16560,5,13426,6,2976,7,10547,6,17616,4,14630,3
E01000039,Barking and Dagenham,"10,237",6,12722,5,12861,5,17820,6,15241,7,686,2,17185,9,13416,3,13908,3
E01000040,Barking and Dagenham,"4,009",3,6212,3,5648,2,9313,3,7641,3,444,1,9203,5,13665,3,8063,1
E01000041,Barking and Dagenham,"8,307",5,10224,4,8647,4,11669,4,10010,4,243,1,7142,4,10992,2,7142,1
E01000042,Barking and Dagenham,"2,664",2,5029,2,3492,1,5445,1,12499,6,28,1,11945,7,8795,1,8009,1
E01000043,Barking and Dagenham,"7,080",5,12693,5,10803,5,15314,5,8080,3,676,2,6764,4,15334,3,8996,1
E01000044,Barking and Dagenham,"11,619",6,12212,5,12202,5,16632,6,2950,1,702,2,3119,1,22250,6,12369,2
E01000045,Barking and Dagenham,"6,039",4,8928,4,7494,3,9056,3,2160,1,548,2,6123,3,11924,2,11338,2
E01000046,Barking and Dagenham,"6,970",5,9558,4,8795,4,10956,3,17088,8,479,1,8655,5,12756,3,9321,1
E01000048,Barking and Dagenham,542,1,1664,1,1195,1,4191,1,12778,6,221,1,14836,8,9163,1,10073,2
E01000049,Barking and Dagenham,"2,013",2,3071,1,2525,1,7156,2,10784,5,49,1,10818,6,10214,2,9454,1
E01000050,Barking and Dagenham,"3,780",3,13867,6,8360,3,10452,3,6059,2,278,1,5545,3,7817,1,12144,2
E01000051,Barking and Dagenham,"4,347",3,3558,1,4785,2,8540,2,4814,2,429,1,10252,6,10460,2,9315,1
E01000052,Barking and Dagenham,"4,952",4,9291,4,7440,3,10931,3,11417,5,99,1,4788,2,18434,5,9645,1
E01000053,Barking and Dagenham,"3,562",3,5363,2,5037,2,8972,3,2144,1,200,1,10870,6,6865,1,9519,1
E01000054,Barking and Dagenham,"8,518",5,7230,3,8012,3,13318,4,8887,4,717,2,8004,4,13087,3,9978,2
E01000055,Barking and Dagenham,"5,627",4,4611,2,6032,2,10475,3,15940,7,650,2,9167,5,14090,3,9752,2
E01000056,Barking and Dagenham,"7,170",5,8437,4,6839,3,7099,2,9269,4,100,1,12777,7,9652,2,10670,2
E01000057,Barking and Dagenham,"9,204",5,6686,3,6909,3,9877,3,7156,3,603,2,8781,5,14559,3,8006,1
E01000058,Barking and Dagenham,"3,947",3,6900,3,6736,3,10069,3,11053,5,410,1,10066,6,13772,3,10397,2
E01000059,Barking and Dagenham,"6,592",4,10451,4,8297,3,8597,2,10248,4,490,2,7356,4,13932,3,9341,1
E01000060,Barking and Dagenham,"6,146",4,7232,3,6512,3,8627,2,2737,1,248,1,11955,7,11879,2,10548,2
E01000061,Barking and Dagenham,876,1,2377,1,2125,1,3923,1,14393,6,192,1,18454,9,4136,1,5414,1
E01000062,Barking and Dagenham,"9,404",6,11417,5,11124,5,14664,5,8288,4,501,2,15164,8,18285,5,8286,1
E01000063,Barking and Dagenham,"9,933",6,8950,4,7943,3,9225,3,11295,5,782,2,6036,3,11816,2,6017,1
E01000064,Barking and Dagenham,"7,753",5,6500,3,6220,2,8440,2,13303,6,166,1,6602,3,10490,2,11115,2
E01000065,Barking and Dagenham,"4,265",3,7188,3,5065,2,4770,1,11574,5,307,1,9210,5,5745,1,10220,2
E01000066,Barking and Dagenham,"6,256",4,14705,6,10725,5,13108,4,20658,9,136,1,16885,9,15169,3,14926,3
E01000067,Barking and Dagenham,"7,362",5,13001,6,12329,5,19905,7,10735,5,725,2,14035,8,21963,6,16594,4
E01000068,Barking and Dagenham,"6,374",4,16195,7,13349,6,17599,6,3970,2,820,2,8062,4,13509,3,16416,4
E01000069,Barking and Dagenham,"11,375",6,20929,8,18292,7,18888,6,16201,7,2225,5,9748,6,25051,7,16211,4
E01000070,Barking and Dagenham,"11,616",6,16928,7,14981,6,17070,6,5018,2,1584,4,10170,6,22662,6,17805,4
E01000071,Barking and Dagenham,"7,099",5,13267,6,12518,5,22157,7,18962,8,889,2,13807,8,20051,5,18062,4
E01000072,Barking and Dagenham,"4,356",3,4870,2,4451,2,7689,2,2249,1,350,1,8754,5,9357,1,7028,1
E01000073,Barking and Dagenham,"3,775",3,7658,3,6133,2,7982,2,1554,1,623,2,12681,7,8284,1,6712,1
E01000074,Barking and Dagenham,"5,611",4,5018,2,4794,2,8763,2,16602,7,311,1,13256,8,9581,2,7662,1
E01000075,Barking and Dagenham,"8,331",5,5360,2,6873,3,9943,3,3101,1,521,2,4325,2,13939,3,6343,1
E01000076,Barking and Dagenham,"5,967",4,9330,4,6177,2,6722,2,12141,5,178,1,10531,6,14560,3,6380,1
E01000077,Barking and Dagenham,"4,001",3,4647,2,3973,1,5768,1,9244,4,581,2,6233,3,6631,1,7276,1
E01000078,Barking and Dagenham,"7,609",5,3524,1,5086,2,8778,2,9512,4,567,2,7156,4,15460,3,7216,1
E01000079,Barking and Dagenham,"3,522",3,6811,3,5141,2,7379,2,12695,6,277,1,9200,5,15314,3,11072,2
E01000080,Barking and Dagenham,"7,102",5,8697,4,7274,3,6934,2,14386,6,475,1,12095,7,9777,2,10114,2
E01000081,Barking and Dagenham,"8,809",5,9610,4,9449,4,10130,3,13643,6,604,2,7318,4,12703,3,8201,1
E01000082,Barking and Dagenham,"8,412",5,12181,5,9753,4,10671,3,19918,9,653,2,8806,5,17747,4,8160,1
E01000083,Barking and Dagenham,"7,666",5,6969,3,6904,3,8025,2,9982,4,573,2,6063,3,10842,2,9793,2
E01000084,Barking and Dagenham,"5,988",4,6043,2,5030,2,7393,2,1715,1,626,2,9648,5,11120,2,6237,1
E01000085,Barking and Dagenham,"4,473",3,10257,4,7390,3,9203,3,3245,1,420,1,7484,4,19518,5,6360,1
E01000086,Barking and Dagenham,"2,071",2,7715,3,5632,2,7318,2,4717,2,689,2,11002,6,5137,1,9185,1
E01000087,Barking and Dagenham,"5,755",4,6195,3,5212,2,8331,2,14563,7,246,1,8076,4,15307,3,9744,2
E01000088,Barking and Dagenham,"11,461",6,11795,5,10790,5,12495,4,8365,4,586,2,6458,3,12126,2,13589,3
E01000089,Barking and Dagenham,"10,978",6,9002,4,9981,4,13980,5,13690,6,325,1,3962,2,18445,5,10703,2
E01000090,Barking and Dagenham,"13,059",7,6899,3,8855,4,14060,5,6503,3,468,1,9116,5,18942,5,12523,2
E01000091,Barking and Dagenham,"4,494",3,5868,2,3775,1,4635,1,3573,1,263,1,12738,7,11282,2,7594,1
E01000092,Barking and Dagenham,"2,433",2,6203,3,5804,2,11606,4,7000,3,11,1,8818,5,16131,4,14566,3
E01000093,Barking and Dagenham,"3,602",3,3607,1,3596,1,5065,1,2977,1,190,1,3282,1,5519,1,9411,1
E01000094,Barking and Dagenham,"4,696",3,10679,5,9003,4,13554,4,8737,4,4,1,14763,8,16555,4,21017,6
E01000095,Barking and Dagenham,"5,578",4,6227,3,6925,3,13425,4,3990,2,7,1,16305,9,17759,4,12341,2
E01000096,Barking and Dagenham,"7,216",5,2772,1,3651,1,7977,2,1816,1,261,1,8823,5,15882,4,7010,1
E01000097,Barking and Dagenham,"3,003",2,7948,3,5351,2,8344,2,9503,4,336,1,9628,5,5831,1,7462,1
E01000098,Barking and Dagenham,"3,976",3,6387,3,4575,2,5822,1,4288,2,618,2,9574,5,9792,2,8040,1
E01000099,Barking and Dagenham,"4,653",3,10077,4,8476,4,11800,4,16553,7,335,1,10685,6,12858,3,10808,2
E01000100,Barking and Dagenham,"7,748",5,12557,5,9665,4,10100,3,7277,3,675,2,4920,2,14418,3,8731,1
E01000101,Barking and Dagenham,"3,708",3,4657,2,3849,1,6223,1,5094,2,634,2,5302,3,9545,2,8974,1
E01000102,Barking and Dagenham,"2,897",2,3532,1,3043,1,4646,1,5806,2,561,2,6799,4,7036,1,11364,2
E01000103,Barking and Dagenham,"5,718",4,7739,3,8028,3,10618,3,7987,3,128,1,15230,8,9979,2,10205,2
E01000104,Barking and Dagenham,"5,031",4,5584,2,5419,2,8092,2,14637,7,163,1,16764,9,11958,2,7929,1
E01000105,Barking and Dagenham,"2,176",2,5699,2,4221,1,5349,1,3225,1,326,1,11416,7,4774,1,6402,1
E01000106,Barking and Dagenham,"3,214",3,3737,1,3032,1,5211,1,5569,2,109,1,11010,6,7543,1,9725,2
E01000107,Barking and Dagenham,"13,271",7,8675,4,10392,4,13329,4,17090,8,555,2,13252,8,8175,1,8851,1
E01000108,Barking and Dagenham,"15,136",8,5571,2,8694,4,11946,4,13794,6,880,2,6178,3,13637,3,13397,3
E01000109,Barking and Dagenham,"14,500",7,14044,6,13637,6,15539,5,4478,2,1020,3,6609,3,19119,5,12247,2
E01000110,Barking and Dagenham,"16,839",8,14129,6,14678,6,16725,6,21211,9,1998,5,14867,8,16046,4,19168,5
E01000111,Barking and Dagenham,"6,411",4,10363,4,8457,4,10920,3,11745,5,566,2,10690,6,13246,3,13216,3
E01000112,Barking and Dagenham,"7,486",5,12423,5,12627,5,19995,7,7729,3,657,2,4026,2,21026,6,14420,3
E01000113,Barking and Dagenham,"10,921",6,9204,4,10322,4,16043,5,6421,3,752,2,10582,6,17933,4,15827,4
E01000114,Barking and Dagenham,"14,710",7,12586,5,13863,6,17792,6,10125,4,909,2,6563,3,17851,4,14308,3
E01000115,Barnet,"27,608",10,23445,9,24852,9,26011,8,24388,10,4571,10,16164,9,31772,10,28835,9
E01000116,Barnet,"14,913",7,25041,9,20597,8,25160,8,22839,9,4400,10,16614,9,31379,10,28684,8
E01000117,Barnet,"21,610",9,27210,9,21222,8,21069,7,19170,8,4122,9,17080,9,29887,9,26087,7
E01000118,Barnet,"20,240",9,20296,8,20191,8,21699,7,19710,8,3995,9,18191,9,32170,10,23320,6
E01000119,Barnet,"15,643",8,24630,9,19862,8,23311,8,7366,3,3797,8,13884,8,32503,10,29365,9
E01000120,Barnet,"20,175",9,27725,9,23592,9,28933,9,24686,10,4419,10,19324,10,31931,10,27995,8
E01000121,Barnet,"4,998",4,4638,2,3532,1,3444,1,11408,5,1318,3,20733,10,12164,2,12192,2
E01000122,Barnet,"15,251",8,26887,9,21201,8,23116,8,25342,10,2437,6,13971,8,30581,9,30583,9
E01000123,Barnet,"17,865",8,17728,7,20571,8,24914,8,26038,10,1722,4,18691,10,29311,9,23385,7
E01000124,Barnet,"5,576",4,10727,5,9081,4,8789,2,9189,4,2459,6,14719,8,24615,7,17610,4
E01000125,Barnet,"3,707",3,9388,4,8105,3,14613,5,7913,3,436,1,14835,8,24898,7,11445,2
E01000126,Barnet,903,1,5869,2,4366,2,6354,2,19092,8,121,1,12134,7,17202,4,18871,5
E01000127,Barnet,"3,687",3,8456,4,7125,3,8594,2,10103,4,1306,3,13192,7,23367,6,12944,2
E01000128,Barnet,"9,359",6,7718,3,8718,4,12046,4,3869,2,1713,4,10444,6,21389,6,12220,2
E01000129,Barnet,364,1,11839,5,5873,2,11084,3,3487,1,1153,3,11448,7,18366,5,11367,2
E01000130,Barnet,"6,305",4,9878,4,7670,3,9925,3,5021,2,620,2,6102,3,21139,6,14311,3
E01000131,Barnet,"11,077",6,18170,7,14225,6,19498,7,2608,1,1103,3,14578,8,27020,8,20987,6
E01000132,Barnet,"3,639",3,7965,3,7554,3,11581,4,11812,5,1608,4,11269,7,22939,6,12100,2
E01000133,Barnet,"4,307",3,13753,6,7489,3,5788,1,15664,7,986,3,10732,6,16936,4,11075,2
E01000134,Barnet,"1,641",2,9268,4,7770,3,13810,4,19554,8,757,2,10405,6,24429,7,13625,3
E01000135,Barnet,"21,724",9,20958,8,20336,8,25207,8,10680,5,3452,8,6935,4,29489,9,28090,8
E01000136,Barnet,"24,042",9,31663,10,29403,10,32200,10,13707,6,3031,7,5733,3,32547,10,32080,10
E01000137,Barnet,"4,660",3,4322,2,4769,2,7065,2,11200,5,1932,4,13240,8,14846,3,23802,7
E01000138,Barnet,"10,018",6,8934,4,8210,3,8832,2,3016,1,1569,4,7778,4,24007,7,23460,7
E01000139,Barnet,"15,507",8,18266,7,19148,8,27475,9,7591,3,3433,8,9230,5,30993,10,27939,8
E01000140,Barnet,"13,934",7,11913,5,13979,6,16748,6,17079,8,2542,6,8608,5,28092,8,22414,6
E01000141,Barnet,"5,326",4,9583,4,10621,4,15544,5,998,1,1573,4,1546,1,26316,8,20639,5
E01000142,Barnet,"11,618",6,12988,6,12982,5,17086,6,22062,9,2397,5,9571,5,25666,7,23016,6
E01000143,Barnet,"4,853",3,3689,1,4534,2,6262,2,5800,2,1888,4,15838,9,17289,4,16148,4
E01000144,Barnet,"8,398",5,22409,8,16060,7,15795,5,6317,3,2356,5,9289,5,28028,8,23604,7
E01000145,Barnet,"22,487",9,24526,9,18244,7,18151,6,13588,6,2751,6,7415,4,31703,10,27693,8
E01000146,Barnet,"12,133",7,19714,8,15846,7,14465,5,7217,3,1730,4,8905,5,31821,10,27554,8
E01000147,Barnet,"12,225",7,26237,9,19924,8,27874,9,11383,5,3065,7,6999,4,32596,10,21938,6
E01000148,Barnet,"3,140",3,10603,5,7576,3,10390,3,16537,7,656,2,8909,5,16658,4,16751,4
E01000150,Barnet,"9,859",6,15585,6,15457,6,22713,8,17184,8,1865,4,6930,4,31284,10,22579,6
E01000151,Barnet,"2,717",2,1589,1,1383,1,3621,1,15355,7,897,2,15489,9,19182,5,14541,3
E01000152,Barnet,"1,376",1,4240,2,3391,1,7125,2,15902,7,572,2,18424,9,24090,7,10713,2
E01000153,Barnet,"2,245",2,3444,1,3020,1,4735,1,4658,2,204,1,16737,9,16727,4,6415,1
E01000154,Barnet,"3,390",3,13060,6,6589,3,7428,2,5150,2,627,2,13307,8,15897,4,12409,2
E01000155,Barnet,"4,889",4,10592,5,12048,5,20992,7,18553,8,1102,3,2383,1,30874,9,19786,5
E01000156,Barnet,"10,776",6,21185,8,20480,8,27970,9,18997,8,4016,9,15291,8,28748,9,31256,10
E01000157,Barnet,"11,753",6,16659,7,18020,7,23337,8,20763,9,3554,8,7699,4,29471,9,21468,6
E01000158,Barnet,"11,122",6,13742,6,12554,5,14944,5,8251,3,2931,7,8183,5,24692,7,21097,6
E01000159,Barnet,"17,000",8,13143,6,14637,6,16967,6,8253,3,1985,5,17292,9,30795,9,27445,8
E01000160,Barnet,"13,996",7,22701,8,21491,8,25821,8,9589,4,3167,7,11117,6,29047,9,24450,7
E01000161,Barnet,"9,864",6,14418,6,15071,6,23203,8,7561,3,3051,7,15281,8,23738,7,28785,9
E01000162,Barnet,"11,405",6,18132,7,14118,6,12852,4,9327,4,3664,8,10428,6,23118,6,21882,6
E01000163,Barnet,"3,048",2,8753,4,6673,3,7026,2,12561,6,1240,3,13854,8,15455,3,18746,5
E01000164,Barnet,"4,258",3,12301,5,8617,4,11407,4,4999,2,1510,4,9562,5,25537,7,20020,5
E01000165,Barnet,"9,801",6,16692,7,16434,7,24651,8,13551,6,1576,4,18378,9,30809,9,27089,8
E01000166,Barnet,"12,993",7,20359,8,15602,7,15856,5,12305,5,2786,6,20472,10,28162,8,24869,7
E01000167,Barnet,"6,421",4,4943,2,6730,3,9073,3,8847,4,1834,4,16601,9,13541,3,12139,2
E01000168,Barnet,"19,798",9,27943,10,26071,9,29238,9,18057,8,4066,9,14193,8,31651,10,29243,9
E01000169,Barnet,"19,381",8,19393,8,18500,7,20563,7,9541,4,3462,8,11383,7,30347,9,27460,8
E01000170,Barnet,"8,921",5,12792,5,10719,5,10414,3,8594,4,3973,9,11534,7,25024,7,21554,6
E01000171,Barnet,"7,705",5,5542,2,6871,3,11775,4,12123,5,3257,7,6704,3,18595,5,19665,5
E01000172,Barnet,"20,991",9,21187,8,20565,8,28221,9,26715,10,3575,8,11181,6,32018,10,30143,9
E01000173,Barnet,"16,392",8,20416,8,19433,8,24580,8,17910,8,4345,9,13018,7,29803,9,26333,8
E01000174,Barnet,"8,298",5,15805,7,12760,5,19157,6,20317,9,2540,6,8830,5,25607,7,23885,7
E01000175,Barnet,"23,532",9,28778,10,25718,9,25725,8,13765,6,4019,9,18613,10,31540,10,30711,9
E01000176,Barnet,"3,589",3,4724,2,4859,2,7899,2,10772,5,575,2,16934,9,22882,6,14011,3
E01000177,Barnet,"22,329",9,23059,9,25054,9,31483,10,16208,7,3903,9,8862,5,32421,10,27761,8
E01000178,Barnet,"16,717",8,26952,9,24124,9,26228,9,18895,8,3916,9,12599,7,30902,9,31906,10
E01000179,Barnet,"15,888",8,20910,8,22746,9,29121,9,17939,8,3558,8,15597,9,26043,7,30869,9
E01000180,Barnet,"4,858",3,19141,8,12478,5,17950,6,20452,9,2661,6,15732,9,29166,9,27500,8
E01000181,Barnet,"17,821",8,24964,9,24244,9,28293,9,15601,7,4202,9,9010,5,32071,10,32678,10
E01000182,Barnet,"20,965",9,30252,10,28697,10,30147,10,19306,8,3914,9,5210,3,32281,10,32588,10
E01000183,Barnet,"13,526",7,24522,9,18766,8,25825,8,23864,10,2545,6,14718,8,25664,7,31018,9
E01000184,Barnet,"4,930",4,6470,3,5967,2,7398,2,11888,5,636,2,5952,3,18934,5,15371,3
E01000185,Barnet,"1,388",1,4437,2,4541,2,8723,2,22953,9,2041,5,15701,9,19242,5,19497,5
E01000186,Barnet,"23,401",9,30661,10,27519,9,29214,9,26212,10,4370,10,16097,9,32593,10,29202,9
E01000187,Barnet,"6,578",4,19526,8,13871,6,20781,7,24590,10,2964,7,19649,10,24697,7,24295,7
E01000188,Barnet,"30,278",10,29910,10,30414,10,28966,9,8968,4,4170,9,10331,6,32615,10,30119,9
E01000189,Barnet,"6,982",5,12159,5,10587,4,14045,5,23049,9,1176,3,3275,1,27729,8,10515,2
E01000190,Barnet,"18,826",8,19583,8,17811,7,22730,8,22930,9,3434,8,18206,9,30863,9,26945,8
E01000191,Barnet,"22,432",9,28983,10,25033,9,25233,8,24413,10,4041,9,16169,9,31996,10,31153,10
E01000192,Barnet,"19,872",9,16562,7,15682,7,19723,7,8607,4,3131,7,9877,6,29094,9,25275,7
E01000193,Barnet,"16,519",8,21857,8,17895,7,18479,6,8454,4,2793,6,7146,4,31313,10,23988,7
E01000194,Barnet,"15,305",8,15644,6,14371,6,16742,6,4540,2,1901,4,8938,5,28883,9,26490,8
E01000195,Barnet,"5,302",4,9452,4,8228,3,11220,3,14429,6,342,1,15323,8,24457,7,11639,2
E01000196,Barnet,"13,174",7,22426,8,17436,7,19382,6,25935,10,2760,6,13191,7,30188,9,26345,8
E01000197,Barnet,"17,059",8,18208,7,18468,7,22711,8,16146,7,3189,7,6454,3,31942,10,31164,10
E01000198,Barnet,"17,727",8,19767,8,18412,7,25333,8,25140,10,1483,4,11317,7,32466,10,30790,9
E01000199,Barnet,"27,508",10,27140,9,24764,9,29076,9,18711,8,3133,7,18404,9,32707,10,31831,10
E01000200,Barnet,"19,523",9,24489,9,19357,8,23175,8,16549,7,3860,8,15396,8,32399,10,31907,10
E01000201,Barnet,"25,597",10,30485,10,28364,10,29698,9,17627,8,4293,9,7463,4,32469,10,32270,10
E01000202,Barnet,"15,518",8,27858,9,25482,9,30478,10,23739,10,3520,8,13100,7,32558,10,31446,10
E01000203,Barnet,"10,997",6,15767,7,14462,6,18236,6,24624,10,1404,3,11805,7,30128,9,26424,8
E01000204,Barnet,"18,042",8,25531,9,21863,8,25965,8,11927,5,3893,9,10412,6,32369,10,29593,9
E01000205,Barnet,"25,126",10,25841,9,25441,9,29476,9,13254,6,3925,9,12790,7,32600,10,31937,10
E01000206,Barnet,"32,413",10,32348,10,32706,10,32692,10,14364,6,1166,3,12215,7,32823,10,31108,10
E01000207,Barnet,"26,433",10,29469,10,28150,10,29472,9,23598,9,3956,9,10436,6,32645,10,29862,9
E01000208,Barnet,"28,477",10,29839,10,31181,10,32744,10,13995,6,3234,7,13475,8,32795,10,31699,10
E01000209,Barnet,"25,703",10,30455,10,26588,9,29393,9,16887,7,3789,8,13289,8,31889,10,32595,10
E01000210,Barnet,"24,322",9,23685,9,24220,9,29944,10,11037,5,4324,9,10330,6,32462,10,32505,10
E01000211,Barnet,"9,646",6,13874,6,14654,6,18292,6,22011,9,2496,6,10106,6,27338,8,29476,9
E01000212,Barnet,"29,490",10,24859,9,23021,9,18960,6,19894,8,3489,8,11349,7,32148,10,32546,10
E01000213,Barnet,"28,439",10,32448,10,31216,10,31617,10,23109,9,2450,6,8092,4,32733,10,31659,10
E01000214,Barnet,"21,762",9,28352,10,27180,9,28460,9,12197,5,1424,3,12462,7,32660,10,32591,10
E01000215,Barnet,"6,076",4,26798,9,15859,7,20859,7,23197,9,2418,6,13727,8,24381,7,26065,7
E01000216,Barnet,"13,502",7,28502,10,21332,8,21286,7,20587,9,3312,7,14375,8,30884,9,30600,9
E01000217,Barnet,"21,937",9,25142,9,22376,8,22862,8,21624,9,3689,8,9244,5,30365,9,22543,6
E01000218,Barnet,"18,608",8,20471,8,15821,7,18558,6,14620,7,2843,6,11456,7,26523,8,22091,6
E01000219,Barnet,"9,602",6,27238,9,16734,7,13697,4,10389,5,1734,4,8190,5,26620,8,17613,4
E01000220,Barnet,"11,112",6,22460,8,14048,6,13981,5,22479,9,2798,6,9132,5,23139,6,24209,7
E01000221,Barnet,"1,571",2,3667,1,2886,1,3909,1,2639,1,39,1,8955,5,11027,2,11630,2
E01000222,Barnet,"11,570",6,12678,5,9338,4,8480,2,6190,3,1374,3,8884,5,20458,5,19703,5
E01000223,Barnet,"3,713",3,8245,4,5219,2,7310,2,4500,2,283,1,9686,6,16092,4,13036,3
E01000224,Barnet,"13,651",7,9079,4,10311,4,13101,4,17484,8,2615,6,10450,6,28221,8,18160,4
E01000225,Barnet,"12,190",7,30577,10,22472,8,23306,8,16830,7,2916,7,13328,8,29235,9,25545,7
E01000226,Barnet,"1,123",1,8241,4,5288,2,9332,3,19222,8,884,2,8364,5,10680,2,11624,2
E01000227,Barnet,"15,906",8,23257,9,19223,8,24076,8,25093,10,2741,6,16456,9,32188,10,27735,8
E01000228,Barnet,"19,220",8,19428,8,19698,8,23078,8,7481,3,2887,6,17584,9,30502,9,27227,8
E01000229,Barnet,"10,071",6,15460,6,12047,5,11304,4,15566,7,647,2,16706,9,27683,8,20727,5
E01000230,Barnet,"18,140",8,24406,9,21300,8,26803,9,21540,9,4230,9,20064,10,31585,10,23054,6
E01000231,Barnet,"17,301",8,15372,6,15887,7,20544,7,14223,6,362,1,13506,8,29693,9,28133,8
E01000232,Barnet,"10,825",6,17249,7,14404,6,18344,6,16385,7,2619,6,15093,8,27433,8,27272,8
E01000233,Barnet,"17,809",8,23657,9,21747,8,23380,8,19066,8,3992,9,15270,8,32427,10,28531,8
E01000234,Barnet,"17,671",8,25266,9,22186,8,25571,8,20474,9,3529,8,16530,9,30198,9,28687,8
E01000235,Barnet,"6,623",4,9944,4,9316,4,12345,4,9335,4,2186,5,9812,6,24980,7,14759,3
E01000236,Barnet,"12,102",7,25337,9,19680,8,21799,7,24391,10,3510,8,11051,6,29846,9,28956,9
E01000237,Barnet,"16,019",8,26721,9,24986,9,29142,9,12465,6,3159,7,9041,5,32251,10,31373,10
E01000238,Barnet,"12,704",7,20556,8,16992,7,17719,6,19488,8,2485,6,8164,5,31453,10,27606,8
E01000239,Barnet,"8,563",5,10376,4,11811,5,16948,6,16770,7,165,1,11552,7,27733,8,25549,7
